category_index,category,mapped_color_count,book_count,percentage,total_books,status
1,Art-Photography,1,5,0.509165,982,ok
1,Art-Photography,2,17,1.731161,982,ok
1,Art-Photography,3,54,5.498982,982,ok
1,Art-Photography,4,69,7.026477,982,ok
1,Art-Photography,5,156,15.885947,982,ok
1,Art-Photography,6,192,19.551935,982,ok
1,Art-Photography,7,144,14.663951,982,ok
1,Art-Photography,8,130,13.238289,982,ok
1,Art-Photography,9,110,11.201629,982,ok
1,Art-Photography,10,48,4.887984,982,ok
1,Art-Photography,11,29,2.953157,982,ok
1,Art-Photography,12,12,1.221996,982,ok
1,Art-Photography,13,10,1.01833,982,ok
1,Art-Photography,14,5,0.509165,982,ok
1,Art-Photography,15,1,0.101833,982,ok
2,Biography,1,5,0.506073,988,ok
2,Biography,2,12,1.214575,988,ok
2,Biography,3,33,3.340081,988,ok
2,Biography,4,69,6.983806,988,ok
2,Biography,5,124,12.550607,988,ok
2,Biography,6,243,24.595142,988,ok
2,Biography,7,196,19.838057,988,ok
2,Biography,8,156,15.789474,988,ok
2,Biography,9,82,8.299595,988,ok
2,Biography,10,44,4.453441,988,ok
2,Biography,11,16,1.619433,988,ok
2,Biography,12,5,0.506073,988,ok
2,Biography,13,2,0.202429,988,ok
2,Biography,14,1,0.101215,988,ok
3,Business-Finance-Law,1,2,0.202224,989,ok
3,Business-Finance-Law,2,15,1.516684,989,ok
3,Business-Finance-Law,3,41,4.145602,989,ok
3,Business-Finance-Law,4,102,10.313448,989,ok
3,Business-Finance-Law,5,172,17.391304,989,ok
3,Business-Finance-Law,6,244,24.671385,989,ok
3,Business-Finance-Law,7,190,19.211325,989,ok
3,Business-Finance-Law,8,103,10.41456,989,ok
3,Business-Finance-Law,9,70,7.077856,989,ok
3,Business-Finance-Law,10,37,3.741153,989,ok
3,Business-Finance-Law,11,10,1.011122,989,ok
3,Business-Finance-Law,12,2,0.202224,989,ok
3,Business-Finance-Law,13,1,0.101112,989,ok
4,Childrens-Books,1,1,0.10142,986,ok
4,Childrens-Books,2,9,0.912779,986,ok
4,Childrens-Books,3,22,2.231237,986,ok
4,Childrens-Books,4,50,5.070994,986,ok
4,Childrens-Books,5,102,10.344828,986,ok
4,Childrens-Books,6,155,15.720081,986,ok
4,Childrens-Books,7,176,17.849899,986,ok
4,Childrens-Books,8,155,15.720081,986,ok
4,Childrens-Books,9,123,12.474645,986,ok
4,Childrens-Books,10,82,8.31643,986,ok
4,Childrens-Books,11,42,4.259635,986,ok
4,Childrens-Books,12,46,4.665314,986,ok
4,Childrens-Books,13,15,1.521298,986,ok
4,Childrens-Books,14,5,0.507099,986,ok
4,Childrens-Books,15,2,0.20284,986,ok
4,Childrens-Books,16,1,0.10142,986,ok
5,Computing,1,2,0.202634,987,ok
5,Computing,2,13,1.317123,987,ok
5,Computing,3,45,4.559271,987,ok
5,Computing,4,81,8.206687,987,ok
5,Computing,5,146,14.7923,987,ok
5,Computing,6,219,22.18845,987,ok
5,Computing,7,183,18.541033,987,ok
5,Computing,8,154,15.602837,987,ok
5,Computing,9,80,8.10537,987,ok
5,Computing,10,35,3.546099,987,ok
5,Computing,11,19,1.925025,987,ok
5,Computing,12,7,0.70922,987,ok
5,Computing,13,2,0.202634,987,ok
5,Computing,15,1,0.101317,987,ok
6,Crafts-Hobbies,1,1,0.10101,990,ok
6,Crafts-Hobbies,2,4,0.40404,990,ok
6,Crafts-Hobbies,3,15,1.515152,990,ok
6,Crafts-Hobbies,4,61,6.161616,990,ok
6,Crafts-Hobbies,5,114,11.515152,990,ok
6,Crafts-Hobbies,6,162,16.363636,990,ok
6,Crafts-Hobbies,7,171,17.272727,990,ok
6,Crafts-Hobbies,8,156,15.757576,990,ok
6,Crafts-Hobbies,9,134,13.535354,990,ok
6,Crafts-Hobbies,10,79,7.979798,990,ok
6,Crafts-Hobbies,11,46,4.646465,990,ok
6,Crafts-Hobbies,12,26,2.626263,990,ok
6,Crafts-Hobbies,13,10,1.010101,990,ok
6,Crafts-Hobbies,14,7,0.707071,990,ok
6,Crafts-Hobbies,15,3,0.30303,990,ok
6,Crafts-Hobbies,18,1,0.10101,990,ok
7,Crime-Thriller,2,4,0.404858,988,ok
7,Crime-Thriller,3,29,2.935223,988,ok
7,Crime-Thriller,4,49,4.959514,988,ok
7,Crime-Thriller,5,100,10.121457,988,ok
7,Crime-Thriller,6,220,22.267206,988,ok
7,Crime-Thriller,7,224,22.672065,988,ok
7,Crime-Thriller,8,178,18.016194,988,ok
7,Crime-Thriller,9,100,10.121457,988,ok
7,Crime-Thriller,10,50,5.060729,988,ok
7,Crime-Thriller,11,25,2.530364,988,ok
7,Crime-Thriller,12,6,0.607287,988,ok
7,Crime-Thriller,13,2,0.202429,988,ok
7,Crime-Thriller,14,1,0.101215,988,ok
8,Dictionaries-Languages,1,1,0.101215,988,ok
8,Dictionaries-Languages,2,12,1.214575,988,ok
8,Dictionaries-Languages,3,46,4.65587,988,ok
8,Dictionaries-Languages,4,66,6.680162,988,ok
8,Dictionaries-Languages,5,151,15.283401,988,ok
8,Dictionaries-Languages,6,160,16.194332,988,ok
8,Dictionaries-Languages,7,149,15.080972,988,ok
8,Dictionaries-Languages,8,142,14.37247,988,ok
8,Dictionaries-Languages,9,120,12.145749,988,ok
8,Dictionaries-Languages,10,67,6.781377,988,ok
8,Dictionaries-Languages,11,45,4.554656,988,ok
8,Dictionaries-Languages,12,15,1.518219,988,ok
8,Dictionaries-Languages,13,6,0.607287,988,ok
8,Dictionaries-Languages,14,6,0.607287,988,ok
8,Dictionaries-Languages,15,1,0.101215,988,ok
8,Dictionaries-Languages,16,1,0.101215,988,ok
9,Entertainment,1,2,0.205128,975,ok
9,Entertainment,2,17,1.74359,975,ok
9,Entertainment,3,49,5.025641,975,ok
9,Entertainment,4,65,6.666667,975,ok
9,Entertainment,5,144,14.769231,975,ok
9,Entertainment,6,190,19.487179,975,ok
9,Entertainment,7,150,15.384615,975,ok
9,Entertainment,8,132,13.538462,975,ok
9,Entertainment,9,114,11.692308,975,ok
9,Entertainment,10,51,5.230769,975,ok
9,Entertainment,11,31,3.179487,975,ok
9,Entertainment,12,18,1.846154,975,ok
9,Entertainment,13,6,0.615385,975,ok
9,Entertainment,14,4,0.410256,975,ok
9,Entertainment,16,2,0.205128,975,ok
10,Food-Drink,1,1,0.101112,989,ok
10,Food-Drink,2,15,1.516684,989,ok
10,Food-Drink,3,31,3.134479,989,ok
