color1_name,color1_hex,color1_group,color2_name,color2_hex,color2_group,count,prob,rank
Teal,#008080,3,Olive,#808000,3,45108,0.022554,1
Green,#33A02C,3,Cyan,#00BFC4,3,45107,0.0225535,2
Green,#33A02C,3,Teal,#008080,3,44848,0.022424,3
Cyan,#00BFC4,3,Teal,#008080,3,44791,0.0223955,4
Green,#33A02C,3,Olive,#808000,3,44786,0.022393,5
Cyan,#00BFC4,3,Olive,#808000,3,44727,0.0223635,6
Pink,#FB9A99,5,Magenta,#FF00FF,5,41488,0.020744,7
Purple,#6A3D9A,5,Pink,#FB9A99,5,41329,0.0206645,8
Magenta,#FF00FF,5,Lavender,#B57EDC,5,41238,0.020619,9
Purple,#6A3D9A,5,Magenta,#FF00FF,5,41184,0.020592,10
Pink,#FB9A99,5,Lavender,#B57EDC,5,41098,0.020549,11
Purple,#6A3D9A,5,Lavender,#B57EDC,5,41046,0.020523,12
White,#FFFFFF,0,Gray,#808080,0,34156,0.017078,13
Black,#000000,0,Gray,#808080,0,33821,0.0169105,14
Black,#000000,0,White,#FFFFFF,0,33682,0.016841,15
Navy,#08306B,4,Gold,#D4AF37,6,31591,0.0157955,16
Blue,#1F78B4,4,Silver,#C0C0C0,6,31569,0.0157845,17
Blue,#1F78B4,4,Gold,#D4AF37,6,31511,0.0157555,18
Silver,#C0C0C0,6,SkyBlue,#87CEEB,4,31424,0.015712,19
Gold,#D4AF37,6,SkyBlue,#87CEEB,4,31333,0.0156665,20
Navy,#08306B,4,Silver,#C0C0C0,6,31087,0.0155435,21
Gray,#808080,0,Cream,#FFFDD0,1,24472,0.012236,22
Black,#000000,0,Cream,#FFFDD0,1,24414,0.012207,23
White,#FFFFFF,0,Cream,#FFFDD0,1,24404,0.012202,24
Gray,#808080,0,Brown,#7B4A12,1,24381,0.0121905,25
White,#FFFFFF,0,Tan,#D2B48C,1,24362,0.012181,26
Black,#000000,0,Tan,#D2B48C,1,24348,0.012174,27
Gray,#808080,0,Beige,#E8D7B8,1,24344,0.012172,28
White,#FFFFFF,0,Beige,#E8D7B8,1,24330,0.012165,29
White,#FFFFFF,0,Brown,#7B4A12,1,24317,0.0121585,30
Gray,#808080,0,Tan,#D2B48C,1,24287,0.0121435,31
Black,#000000,0,Beige,#E8D7B8,1,24271,0.0121355,32
Black,#000000,0,Brown,#7B4A12,1,23969,0.0119845,33
Beige,#E8D7B8,1,Cream,#FFFDD0,1,13888,0.006944,34
Beige,#E8D7B8,1,Tan,#D2B48C,1,13870,0.006935,35
Brown,#7B4A12,1,Cream,#FFFDD0,1,13838,0.006919,36
Brown,#7B4A12,1,Tan,#D2B48C,1,13803,0.0069015,37
Cream,#FFFDD0,1,Tan,#D2B48C,1,13769,0.0068845,38
Brown,#7B4A12,1,Beige,#E8D7B8,1,13671,0.0068355,39
Gold,#D4AF37,6,Silver,#C0C0C0,6,10662,0.005331,40
Blue,#1F78B4,4,Tan,#D2B48C,1,8457,0.0042285,41
Blue,#1F78B4,4,Cream,#FFFDD0,1,8453,0.0042265,42
Brown,#7B4A12,1,Navy,#08306B,4,8448,0.004224,43
Cream,#FFFDD0,1,SkyBlue,#87CEEB,4,8448,0.004224,44
Tan,#D2B48C,1,SkyBlue,#87CEEB,4,8442,0.004221,45
Beige,#E8D7B8,1,Navy,#08306B,4,8417,0.0042085,46
Brown,#7B4A12,1,Blue,#1F78B4,4,8397,0.0041985,47
Brown,#7B4A12,1,SkyBlue,#87CEEB,4,8356,0.004178,48
Beige,#E8D7B8,1,SkyBlue,#87CEEB,4,8337,0.0041685,49
Navy,#08306B,4,Tan,#D2B48C,1,8332,0.004166,50
Beige,#E8D7B8,1,Blue,#1F78B4,4,8306,0.004153,51
Navy,#08306B,4,Cream,#FFFDD0,1,8284,0.004142,52
Silver,#C0C0C0,6,Lavender,#B57EDC,5,6633,0.0033165,53
Pink,#FB9A99,5,Silver,#C0C0C0,6,6471,0.0032355,54
Gold,#D4AF37,6,Lavender,#B57EDC,5,6468,0.003234,55
Purple,#6A3D9A,5,Gold,#D4AF37,6,6458,0.003229,56
Pink,#FB9A99,5,Gold,#D4AF37,6,6434,0.003217,57
Silver,#C0C0C0,6,Magenta,#FF00FF,5,6408,0.003204,58
Gold,#D4AF37,6,Magenta,#FF00FF,5,6393,0.0031965,59
Purple,#6A3D9A,5,Silver,#C0C0C0,6,6299,0.0031495,60
Orange,#FF7F00,2,Cream,#FFFDD0,1,6006,0.003003,61
Brown,#7B4A12,1,Magenta,#FF00FF,5,5969,0.0029845,62
Beige,#E8D7B8,1,Lavender,#B57EDC,5,5916,0.002958,63
Pink,#FB9A99,5,Cream,#FFFDD0,1,5904,0.002952,64
Brown,#7B4A12,1,Maroon,#800000,2,5902,0.002951,65
Beige,#E8D7B8,1,Pink,#FB9A99,5,5901,0.0029505,66
Brown,#7B4A12,1,Pink,#FB9A99,5,5900,0.00295,67
Orange,#FF7F00,2,Tan,#D2B48C,1,5897,0.0029485,68
Lavender,#B57EDC,5,Tan,#D2B48C,1,5894,0.002947,69
Maroon,#800000,2,Tan,#D2B48C,1,5893,0.0029465,70
Beige,#E8D7B8,1,Magenta,#FF00FF,5,5883,0.0029415,71
Beige,#E8D7B8,1,Yellow,#FFD700,2,5877,0.0029385,72
Red,#E31A1C,2,Tan,#D2B48C,1,5876,0.002938,73
Magenta,#FF00FF,5,Cream,#FFFDD0,1,5876,0.002938,74
Beige,#E8D7B8,1,Red,#E31A1C,2,5861,0.0029305,75
Purple,#6A3D9A,5,Cream,#FFFDD0,1,5861,0.0029305,76
Brown,#7B4A12,1,Purple,#6A3D9A,5,5860,0.00293,77
Brown,#7B4A12,1,Orange,#FF7F00,2,5854,0.002927,78
Brown,#7B4A12,1,Lavender,#B57EDC,5,5849,0.0029245,79
Yellow,#FFD700,2,Tan,#D2B48C,1,5848,0.002924,80
Maroon,#800000,2,Cream,#FFFDD0,1,5848,0.002924,81
Yellow,#FFD700,2,Cream,#FFFDD0,1,5845,0.0029225,82
Brown,#7B4A12,1,Yellow,#FFD700,2,5822,0.002911,83
Brown,#7B4A12,1,Red,#E31A1C,2,5814,0.002907,84
Purple,#6A3D9A,5,Tan,#D2B48C,1,5794,0.002897,85
Red,#E31A1C,2,Cream,#FFFDD0,1,5783,0.0028915,86
Pink,#FB9A99,5,Tan,#D2B48C,1,5782,0.002891,87
Magenta,#FF00FF,5,Tan,#D2B48C,1,5767,0.0028835,88
Blue,#1F78B4,4,Navy,#08306B,4,5763,0.0028815,89
Beige,#E8D7B8,1,Orange,#FF7F00,2,5746,0.002873,90
Lavender,#B57EDC,5,Cream,#FFFDD0,1,5716,0.002858,91
Blue,#1F78B4,4,SkyBlue,#87CEEB,4,5709,0.0028545,92
Beige,#E8D7B8,1,Purple,#6A3D9A,5,5704,0.002852,93
Beige,#E8D7B8,1,Maroon,#800000,2,5701,0.0028505,94
Navy,#08306B,4,SkyBlue,#87CEEB,4,5618,0.002809,95
Cyan,#00BFC4,3,Maroon,#800000,2,4715,0.0023575,96
Green,#33A02C,3,Maroon,#800000,2,4697,0.0023485,97
Orange,#FF7F00,2,Olive,#808000,3,4685,0.0023425,98
Yellow,#FFD700,2,Green,#33A02C,3,4667,0.0023335,99
Red,#E31A1C,2,Teal,#008080,3,4649,0.0023245,100
Yellow,#FFD700,2,Teal,#008080,3,4649,0.0023245,101
Red,#E31A1C,2,Cyan,#00BFC4,3,4638,0.002319,102
Teal,#008080,3,Maroon,#800000,2,4637,0.0023185,103
Yellow,#FFD700,2,Olive,#808000,3,4628,0.002314,104
Orange,#FF7F00,2,Green,#33A02C,3,4609,0.0023045,105
Red,#E31A1C,2,Olive,#808000,3,4606,0.002303,106
Orange,#FF7F00,2,Teal,#008080,3,4566,0.002283,107
Red,#E31A1C,2,Green,#33A02C,3,4562,0.002281,108
Yellow,#FFD700,2,Cyan,#00BFC4,3,4540,0.00227,109
Olive,#808000,3,Maroon,#800000,2,4522,0.002261,110
Orange,#FF7F00,2,Cyan,#00BFC4,3,4496,0.002248,111
Black,#000000,0,Red,#E31A1C,2,4209,0.0021045,112
Black,#000000,0,Yellow,#FFD700,2,4169,0.0020845,113
White,#FFFFFF,0,Maroon,#800000,2,4169,0.0020845,114
Gray,#808080,0,Yellow,#FFD700,2,4167,0.0020835,115
Gray,#808080,0,Maroon,#800000,2,4162,0.002081,116
Gray,#808080,0,Red,#E31A1C,2,4141,0.0020705,117
Black,#000000,0,Orange,#FF7F00,2,4123,0.0020615,118
White,#FFFFFF,0,Yellow,#FFD700,2,4116,0.002058,119
